Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,
000049.SZ, 德赛电池,37.2,广东,电子,1995/3/20,3.2321,2.4409,1.9556,1.4643,1.2439,1.1217,1.1428,1.5057,1.0498,0.872,0.5216,-0.2605,0.0114,0.0522,0,1,2.54,1.23,13.6565,是,1,14.63,28.8818,1.06,1.1896,2.8987,2.72,14534921320.70,0,1,0,1,0,1,0,0
000050.SZ, 深天马Ａ,14.06,广东,电子,1995/3/15,0.6749,0.4049,0.4599,0.5761,0.4062,0.4901,0.7116,0.25,0.0948,0.1761,0.1226,-0.3581,0.0163,0.26,0,1,0.51,0.35,13.6582,是,1,27.39,19.7561,0.46,0.8503,1.2032,1.03,33105860993.67,0,0,0,1,1,1,1,0
000055.SZ, 方大集团,4.35,广东,建筑装饰,1996/4/15,0.35,0.31,1.91,0.97,0.91,0.14,0.13,0.11,0.03,0.09,0.11,0.1,0.05,0.0629,0,1,0.86,0.09,4.9444,-,0,5.08,15.6465,8.52,1.2098,2.6575,0.88,4553226722.48,0,1,0,1,1,1,1,1
000056.SZ, 皇庭国际,3.38,广东,房地产,1996/7/8,-0.26,0.04,0.08,0.15,0.1,0.09,-1.26,10.51,0.08,-0.56,-0.75,0.03,-0.12,0.33,0,0,-0.05,3.11,4.0485,-,0,10000,0,-1.02,0.2457,0.9405,0.83,4228303392.00,0,0,0,1,1,1,1,0
000058.SZ, 深 赛 格,5.52,广东,商业贸易,1996/12/26,0.021,0.0635,0.0225,0.1777,0.1371,0.0946,0.0616,0.0692,0.0581,0.0879,0.0755,-0.3977,0.062,0.08,0,1,0.04,0.06,1.5423,是,1,154.77,47.2543,-0.43,1.5354,0.9576,3.58,7105023431.75,0,0,0,1,0,1,0,0
000059.SZ, 华锦股份,7.43,辽宁,化工,1997/1/30,0.2,0.62,0.63,1.15,1.13,0.21,-1.3216,-0.1293,0.0163,0.7014,0.3437,0.1634,0.3206,0.2,0,0,0.48,-0.48,8.4628,是,1,15.37,37.8536,-2.01,1.7207,2.9063,0.88,11531980691.77,0,0,0,1,1,1,1,1
000060.SZ, 中金岭南,6,广东,有色金属,1997/1/23,0.26,0.24,0.26,0.46,0.15,0.09,0.23,0.2,0.21,0.46,0.45,0.4,0.39,1.65,0,1,0.25,0.21,3.2392,是,1,23.68,30.1626,0.19,1.8777,1.4837,1.85,17778237545.64,0,0,0,1,0,1,0,0
000061.SZ, 农 产 品,5.62,广东,商业贸易,1997/1/10,0.1858,0.1828,0.0252,0.0082,0.0521,0.0121,0.0497,0.0666,0.0346,0.2691,0.36,0.11,0.13,0.44,0,1,0.13,0.05,3.1834,是,1,42.81,32.8265,1.61,0.4517,0.5638,1.77,9842391959.80,0,0,0,1,0,1,0,0
000062.SZ, 深圳华强,14.7,广东,电子,1997/1/30,0.5971,0.6024,0.9504,0.5716,0.5904,0.5556,0.72,0.618,0.422,0.07,0.29,0.3,0.15,0.38,0,1,0.72,0.59,5.2935,是,1,20.51,24.9013,0.22,1.6736,1.1746,2.78,17926885779.08,0,0,0,1,0,1,0,0
000063.SZ, 中兴通讯,34.42,广东,通信,1997/11/18,0.92,1.22,-1.67,1.08,-0.57,0.77,0.77,0.39,-0.83,0.61,1.15,1.35,1.2,1.29,0,0,0.16,0.11,9.39,是,1,219.7,17.9236,0.42,1.438,0.9922,3.67,129822058029.72,1,0,0,1,0,1,0,0
000065.SZ, 北方国际,7.69,北京,建筑装饰,1998/6/5,0.9,0.91,0.77,0.97,0.95,0.82,0.73,0.74,0.74,0.45,0.27,0.35,0.22,-0.29,0,1,0.86,0.74,7.1142,是,1,8.94,10.0242,0.17,1.7286,1.5374,1.08,6002414566.20,0,1,0,1,1,1,1,1
000066.SZ, 中国长城,14.57,广东,计算机,1997/6/26,0.317,0.38,0.336,0.204,0.025,-0.027,0.044,0.022,-0.181,0.076,0.167,0.795,0.021,0.214,0,0,0.34,-0.04,3.0597,是,1,42.31,22.8478,-9.98,1.5842,1.2177,4.76,33257322489.80,0,0,0,1,0,1,0,0
000068.SZ, 华控赛格,2.86,广东,公用事业,1997/6/11,-0.165,0.006,-0.132,0.0324,0.0099,0.007,-0.1208,-0.0415,0.0035,-0.0456,0.0395,-2.1484,0.0231,-0.2443,0,0,-0.1,-0.05,0.3602,-,0,10000,0,0.83,1.3279,0.1697,7.94,2657612664.96,0,0,0,1,0,1,0,0
000069.SZ, 华侨城Ａ,6.73,广东,房地产,1997/9/10,1.5633,1.5044,1.2907,1.0533,0.8395,0.637,0.6566,0.6062,0.5294,0.568,0.978,0.551,0.35,0.66,0,1,1.45,0.6,9.461,是,1,4.63,19.9411,1.43,1.6177,0.3182,0.71,74226234930.75,1,1,0,1,1,1,1,1
000070.SZ, 特发信息,7.41,广东,通信,2000/5/11,0.014,0.4096,0.4393,0.4236,0.6245,0.3349,0.2051,0.23,0.19,0.1471,0.251,0.1653,0.1417,0.0442,0,1,0.29,0.21,3.5058,-,0,25.76,17.4327,0.38,1.394,0.9605,2.11,6304733008.07,0,0,0,1,0,1,0,0
000078.SZ, 海王生物,3.18,广东,医药生物,1998/12/18,-0.11,0.091,0.156,0.2427,0.1876,0.6467,0.0325,0.1644,0.0905,0.0805,0.0715,0.0217,0.0372,0.0626,0,1,0.05,0.1,2.1371,-,0,69.64,0,-0.52,1.0552,0.206,1.49,9022733082.96,0,0,0,1,1,1,1,0
