Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,Price201231,
000488.SZ, 晨鸣纸业,5.35,山东,轻工制造,2000-11-20,0.56,0.36,0.33,0.51,1.7,0.99,0.5,0.26,0.35,0.11,0.29,0.56,0.41,0,0.59,0,1,0.416666667,0.37,6.0632,-,0,12.84,0,0.126126126,0.650450613,0.453415307,0.882372345,34019973480,0,1,0,1,1,1,1,1,6.42
000498.SZ, 山东路桥,10.15,山东,建筑装饰,1997-06-09,1.3702,1.1221,0.5533,0.5924,0.5143,0.3836,0.337,0.2784,0.2228,0.3234,0.0011,0.0014,0.62,0.02,-1.86,0,1,1.0152,0.2794,6.8194,是,1,9.998029945,0,2.633500358,1.110449601,1.009314134,1.488400739,8049773770,0,1,0,1,1,1,1,1,4.75
000501.SZ, 鄂武商Ａ,10.24,湖北,商业贸易,1992-11-20,0.98,0.71,1.6,1.38,1.65,1.77,1.57,1.3,0.92,0.79,0.65,0.58,0.47,0.36,0.31,0,1,1.096666667,1.263333333,13.8852,是,1,9.337386018,16.35233351,-0.131926121,0.438762466,0.318303295,0.737475874,8605028660,0,1,0,1,1,1,1,1,11.65
000502.SZ, *ST绿景,3.8,广东,房地产,1992-11-23,-0.11,-0.1,-0.05,0.42,-0.45,0.17,-0.13,0.02,0.04,-0.06,0.14,-0.2675,0.1759,0.3064,0.0239,0,0,-0.086666667,-0.023333333,0.8603,-,0,10000,0,2.714285714,2.678001184,-3.027802118,4.417063815,938883603.6,0,0,1,1,0,1,0,0,9.25
000503.SZ, 国新健康,8.29,海南,医药生物,1992-11-30,-0.1952,-0.2699,0.0194,-0.2089,0.0186,0.0312,0.0257,0.0278,0.0144,0.0268,0.02,0.0162,0.0106,0.0072,0.0049,0,0,-0.148566667,0.022633333,0.866,-,0,10000,0,-7.564064801,2.17652271,-2.622470392,9.572748268,7127660078,0,0,1,1,0,1,0,0,8.36
000504.SZ, 南华生物,13.33,湖南,医药生物,1992-12-08,-0.06,0.03,0.06,-0.11,-0.12,0.07,-0.07,-0.08,0.04,0.004,-0.1,0.02,-0.43,-0.55,0.0118,0,0,0.01,-0.036666667,0.0534,-,0,1333,0,-1.272727273,0.976599486,-11.75764199,249.6254682,4673608515,0,0,0,1,0,1,0,0,12.24
000505.SZ, 京粮控股,10.83,海南,农林牧渔,1992-12-21,0.28,0.26,0.19,0.24,0.2,0.17,-0.25,-0.41,0.03,-0.3,-0.12,0.06,0.19,-0.18,-0.07,0,0,0.243333333,-0.21,4.011,-,0,44.50684932,0,-2.158730159,1.525306615,1.382346758,2.700074794,5335814842,0,0,0,1,0,1,0,0,8.88
000506.SZ, 中润资源,3.05,山东,房地产,1993-03-12,-0.139,-0.5305,-0.0196,0.0454,-0.4835,0.0095,0.0234,-0.2331,0.2084,0.4111,0.2883,0.3656,0.3069,0.2582,0.2815,0,0,-0.2297,-0.000433333,0.4032,-,0,10000,0,529.0769231,0.297636658,0.358235839,7.564484127,2034548897,0,0,0,1,0,1,0,0,2.4
000507.SZ, 珠海港,6.66,广东,交通运输,1993-03-26,0.484,0.2826,0.2513,0.2138,0.1781,0.132,0.0996,0.0217,0.121,0.25,0.8464,0.6036,0.2862,0.251,0.4084,0,1,0.3393,0.080766667,5.9914,是,1,19.62864721,0,3.200990508,1.035080325,0.583831143,1.111593284,5284813404,0,0,0,1,1,1,1,1,5.68
000508.SZ, 琼民源A,0,海南,-,1993-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,13144163058,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000509.SZ, *ST华塑,3.97,四川,医药生物,1993-05-07,-0.0053,0.007,-0.1569,-0.0651,0.0151,-0.0865,0.0198,-0.0617,0.084,-0.3438,-0.4515,0.0406,-0.1741,-0.57,0.05,0,0,-0.051733333,0.014033333,0.1287,-,0,10000,0,-4.686460808,1.090806656,4.1717772,30.84693085,2886714460,0,0,0,1,0,1,0,0,2.69
000510.SZ, 新金路,6.32,四川,化工,1993-05-07,0.4917,0.1174,0.1018,0.1643,0.1108,0.0953,0.0231,-0.2418,-0.2852,0.0263,-0.1902,0.1336,0.0093,-0.1029,0.1324,0,0,0.236966667,-0.167966667,2.1933,-,0,26.67041778,0,-2.410795793,1.187897633,-5.514517893,2.881502758,3167747721,0,0,0,1,0,1,0,0,4.67
000511.SZ, 烯碳退,0,辽宁,-,1993-05-18,0,0,0,0,0.07,-0.41,0.002,-0.23,0.06,0.04,0.03,0.03,0.1,0.11,0.23,0,0,0,-0.056,0,-,0,10000,0,-1,0,0,#DIV/0!,704447526.7,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000513.SZ, 丽珠集团,33.68,广东,医药生物,1993-10-28,1.9,1.83,1.39,1.51,8.06,1.97,1.6,1.74,1.65,1.49,1.22,1.41,1.61,0.17,1.66,0,1,1.706666667,1.663333333,13.87,是,1,19.734375,68.4442376,0.026052104,2.118837888,-2.222963719,2.428262437,41546205217,0,0,1,1,0,1,0,0,40.5
000514.SZ, 渝 开 发,5.56,重庆,房地产,1993-07-12,0.1921,0.1583,0.3124,0.0298,0.0958,0.1454,0.0087,0.145,0.1499,0.077,0.214,0.1936,0.2449,0.2035,0.3059,0,1,0.220933333,0.1012,4.1635,是,1,25.16596258,0,1.183135705,2.106566224,4.715849489,1.335414915,2885696700,0,0,1,1,1,1,1,0,3.79
000515.SZ, 攀渝钛业,0,重庆,-,1993-07-12,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.54,0.06,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,2862402492,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
