Code,Name,Close,Location,Industry,List_date,EPS_2022,EPS_2021,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2020_22,AVG_EPS_2015_17,Net_Asset,Div,Dividend,PE20_22,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,x1,x2,x3,x4,x5,x6,x7,x8,Price201231,YTDchg
601686.SH, 友发集团,6.71,天津,钢铁,2020-12-04,0.21,0.43,0.89,0.68,0.34,0.41,0.39,0,0,0,0,0,0,0,0,0,0,0,0.51,0.266666667,4.3575,-,0,13.15686275,72.0694058,0.9125,1.523073898,1.313943951,1.539873781,9850699489,0,1,0,0,0,0,0,1,12.38,15.99326599
601688.SH, 华泰证券,15.88,江苏,非银金融,2010-02-26,1.16,1/1/1900,1.19,1.03,0.66,1.2951,0.8754,1.6452,0.8011,0.3949,0.2885,0.3186,0,0.8195,0.2785,1.2504,0.1653,1,1.27,1.2719,16.0747,是,1,12.50393701,36.76228223,-0.001493828,0,0,0.987887799,1.47E+11,1.00E+00,1,0,1,1,1,1,1,18.01,26.84458399
601689.SH, 拓普集团,77.91,浙江,汽车,2015-03-19,1.54,0.93,0.6,0.43,1.04,1.06,0.95,0.66,0.77,0.65,0.47,0,0,0,0,0,0,1,1.023333333,0.89,10.8763,是,1,76.13355049,30.01228343,0.149812734,1.292480673,1.578176199,7.163281631,85166294324,1,0,0,1,0,1,0,0,38.43,31.92215773
601696.SH, 中银证券,11.88,上海,非银金融,2020-02-26,0.29,0.35,0.32,0.32,0.28,0.43,0.43,0.83,0,0,0,0,0,0,0,0,0,0,0.32,0.563333333,5.9043,是,1,37.125,10.31786712,-0.431952663,0,0,2.012092881,33836040000,0,0,0,0,0,0,0,0,27.68,15.23178808
601698.SH, 中国卫通,17.05,北京,国防军工,2019-06-28,0.2281,0.1431,0.1222,0.1175,0.1162,0.1079,0.1202,0.1429,0.1425,0,0,0,0,0,0,0,0,0,0.164466667,0.123666667,3.5762,是,1,103.6684232,20.0040152,0.329919137,4.389044092,-2.544104225,4.767630446,73293086898,1,0,1,0,0,0,0,0,18.14,51.92644483
601699.SH, 潞安环能,16.28,山西,采掘,2006-09-22,4.74,1/2/1900,0.65,0.8,0.89,0.93,0.29,0.03,0.43,0.66,1.12,1.67,2.987,1.833,2.48,1.53,0,1,2.543333333,0.416666667,16.2918,是,1,6.401048493,60.17333934,5.104,1.223303031,-1.943165005,0.999275709,51242839596,1,1,0,1,1,1,1,1,6.5,1.661721068
601700.SH, 风范股份,4.86,江苏,电气设备,2011-01-18,0.028,0.08,0.19,-0.25,0.03,0.12,0.18,0.18,0.44,0.49,0.68,0.51,1.01,0.86,0.93,0.38,0,0,0.099333333,0.16,2.2858,是,1,48.9261745,35.41918582,-0.379166667,1.663731782,2.394991686,2.126170269,5539896495,0,0,0,1,0,1,0,0,4.77,-5.088062622
601702.SH, 华峰铝业,16.15,上海,有色金属,2020-09-07,0.67,0.5,0.31,0.25,0.24,0.34,0.28,0.15,0,0,0,0,0,0,0,0,0,0,0.493333333,0.256666667,3.738,是,1,32.73648649,14.99809872,0.922077922,2.088216896,2.091275518,4.320492242,16156225108,0,0,1,0,0,0,0,0,8.34,8.227424749
601717.SH, 郑煤机,12.64,河南,汽车,2010-08-03,1.446,1/1/1900,0.714,0.6,0.48,0.167,0.038,0.03,0.13,0.53,1.12,1.71,1.43,1.13,0.86,0.36,0,1,1.091333333,0.078333333,9.9915,是,1,11.58216249,39.32093641,12.93191489,1.759368616,1.491208257,1.265075314,22652346279,0,1,0,1,1,1,1,1,10.93,13.88888889
601718.SH, 际华集团,2.91,北京,纺织服装,2010-08-16,0.05,-0.04,-0.18,0.01,-0.02,0.18,0.32,0.3,0.3,0.25,0.22,0.16,0.17,0.17,0.17,0.15,0,0,-0.056666667,0.266666667,3.878,是,1,10000,59.44475487,-1.2125,1.882599037,-17.05020663,0.750386797,12823557860,0,0,0,1,1,1,1,0,3.03,0.343642612
