Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,Price201231
000021.SZ, 深科技,11.3400,广东,电子,1994-02-02,0.5826 ,0.2395 ,0.3603 ,0.3679 ,0.1457 ,0.1228 ,0.1332 ,0.1710 ,0.0709 ,0.1906 ,0.2913 ,0.2900 ,0.3598 ,0.8064 ,0.0000 ,1,0.39,0.13,5.1554,是,1,28.77,25.0568,2.15 ,1.2359,2.3976,2.20,24776007673,0,0,0,1,0,1,0,0,19.0100
000023.SZ, 深天地Ａ,13.2400,广东,建筑材料,1993-04-29,-0.0573,0.3663 ,0.1897 ,0.2198 ,0.0717 ,0.1926 ,0.1243 ,0.1083 ,0.0373 ,0.0668 ,0.0948 ,0.1770 ,0.1536 ,0.1453 ,0.0000 ,1,0.17,0.09,3.3487,-,0,79.65,2.7301,0.85 ,1.1423,5.0509,3.95,2206224216,0,0,0,1,0,1,0,0,16.3000
000024.SZ, 招商地产,0.0000,广东,-,1993-06-07,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.6600 ,2.4470 ,1.9323 ,1.5092 ,1.1700 ,0.9574 ,0.9408 ,1.5200 ,0.0000 ,0,0.00,2.01,0.0000,-,0,10000.00,0.0000,-1.00 ,0.0000,0.0000,#DIV/0!,1.04326E+11,1,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0.0000
000025.SZ, 特  力Ａ,14.7600,广东,汽车,1993-06-21,0.1338 ,0.5096 ,0.2924 ,0.2249 ,0.0915 ,0.1538 ,0.0470 ,0.0313 ,0.0324 ,0.0098 ,0.0163 ,0.0286 ,0.0200 ,0.0500 ,0.0000 ,1,0.31,0.04,3.0402,是,1,47.32,8.2417,7.45 ,2.0715,-5.8803,4.85,6224482141,0,0,1,1,0,1,0,0,16.9000
000026.SZ, 飞亚达,9.7200,广东,轻工制造,1993-06-03,0.6764 ,0.4943 ,0.4190 ,0.3196 ,0.2522 ,0.3099 ,0.3710 ,0.3310 ,0.2950 ,0.4060 ,0.3770 ,0.2810 ,0.2590 ,0.2440 ,0.0000 ,1,0.53,0.33,6.5405,是,1,18.34,39.6623,0.59 ,2.4440,11.7300,1.49,7121251035,0,0,1,1,1,1,1,0,11.4300
000027.SZ, 深圳能源,6.4300,广东,公用事业,1993-09-03,0.7800 ,0.4300 ,0.1700 ,0.1900 ,0.3400 ,0.4500 ,0.0000 ,0.0000 ,0.0000 ,0.4300 ,0.6400 ,0.9100 ,0.4700 ,0.7900 ,0.0000 ,0,0.46,0.00,5.6679,是,1,13.98,11.6519,-999.00 ,0.9381,0.5673,1.13,41960179059,0,1,0,1,1,1,1,1,6.0900
000028.SZ, 国药一致,33.8800,广东,医药生物,1993-08-09,3.2700 ,2.9700 ,2.8300 ,2.4700 ,2.8000 ,2.1000 ,1.9000 ,1.8100 ,1.6500 ,1.1500 ,0.9100 ,0.6700 ,0.5370 ,0.4340 ,0.0000 ,1,3.02,1.79,32.5799,是,1,11.21,20.2060,0.69 ,1.4445,2.2929,1.04,16979516146,0,1,0,1,1,1,1,1,45.8000
000029.SZ, 深深房Ａ,8.9800,广东,房地产,1993-09-15,0.2869 ,0.5461 ,0.4977 ,0.1829 ,0.3080 ,0.2977 ,0.2946 ,0.2256 ,0.1056 ,0.1000 ,0.0838 ,0.0200 ,0.0189 ,0.0288 ,0.0000 ,1,0.44,0.21,3.7537,是,1,20.24,30.2151,1.13 ,3.2800,-1.5371,2.39,7455934200,0,0,1,1,0,1,0,0,7.1400
000030.SZ, 富奥股份,5.4400,吉林,汽车,1993-09-29,0.5200 ,0.5000 ,0.4900 ,0.6400 ,0.5200 ,0.3900 ,0.4800 ,0.4400 ,-0.0128,5.0484 ,3.6934 ,0.0281 ,-0.2952,-0.0765,0.0000 ,1,0.50,0.30,4.0113,是,1,10.81,33.2301,0.66 ,1.5283,22.8707,1.36,12764392383,0,1,0,1,1,1,1,1,7.3400
000031.SZ, 大悦城,4.6900,广东,房地产,1993-10-08,-0.0900,0.6100 ,0.7700 ,0.5200 ,0.4000 ,0.4000 ,0.3300 ,0.2900 ,0.2800 ,0.2300 ,0.2600 ,0.2100 ,0.0800 ,0.6100 ,0.0000 ,1,0.43,0.30,4.2813,-,0,10.91,30.6364,0.43 ,1.5237,0.1766,1.10,15859359354,0,1,0,1,1,1,1,1,4.4000
000032.SZ, 深桑达Ａ,18.2200,广东,通信,1993-10-28,0.3600 ,0.3200 ,0.2600 ,0.0600 ,0.1400 ,0.1600 ,0.0900 ,0.0400 ,0.7700 ,0.1200 ,0.1230 ,0.1750 ,0.3100 ,0.4490 ,0.0000 ,1,0.31,0.30,3.8272,-,0,58.15,24.6787,0.04 ,2.3833,-2.6783,4.76,7925553098,0,0,1,1,0,1,0,0,17.9000
000033.SZ, 新都退,0.0000,广东,-,1994-01-03,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0100 ,0.2100 ,-1.3647,0.0106 ,-0.0773,0.0085 ,0.0127 ,-0.0730,0.0107 ,0.0057 ,0.0000 ,0,0.00,-0.48,0.0000,-,0,10000.00,0.0000,-1.00 ,0.0000,0.0000,#DIV/0!,730524059.5,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0.0000
000034.SZ, 神州数码,14.4100,广东,计算机,1994-05-09,0.9509 ,1.0740 ,0.7834 ,1.1053 ,0.6700 ,0.0600 ,0.1700 ,0.0500 ,0.0100 ,0.0500 ,1.3900 ,0.3700 ,-0.7200,-0.8000,0.0000 ,1,0.94,0.08,7.1260,是,1,15.39,19.5664,11.21 ,1.0314,0.0731,2.02,10942735415,0,0,0,1,0,1,0,0,21.4600
000035.SZ, 中国天楹,5.1400,江苏,公用事业,1994-04-08,0.2600 ,0.3018 ,0.1602 ,0.1729 ,0.1709 ,0.3700 ,0.3500 ,5.9900 ,-3.3700,-0.1500,0.3100 ,-0.1200,-0.0664,0.7900 ,0.0000 ,1,0.24,0.99,4.6333,-,0,21.36,0.0000,-0.76 ,0.8333,-0.2732,1.11,11180333426,0,0,0,1,1,1,1,0,4.1100
000036.SZ, 华联控股,4.2400,广东,房地产,1994-06-17,0.3700 ,0.5510 ,0.8490 ,1.1770 ,1.1800 ,0.0612 ,0.0306 ,0.0710 ,0.0525 ,0.0618 ,0.2053 ,0.2505 ,-0.3530,-0.3400,0.0000 ,1,0.59,0.05,3.3057,是,1,7.19,72.6018,10.49 ,2.7712,-2.5713,1.28,5460877212,0,1,1,1,1,1,1,1,3.9800
