Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,,
000050.SZ, 深天马Ａ,9.14,广东,电子,3/15/1995,0.6276,0.6749,0.4049,0.4599,0.5761,0.4062,0.4901,0.7116,0.25,0.0948,0.1761,0.1226,-0.3581,0.0163,0.26,0,1,0.569133333,0.535966667,14.1889,是,1,16.05950568,11.15378419,0.061881958,0.823269628,1.127706641,0.64,21456137081,0,0,0,1,1,1,1,1,14.74
000055.SZ, 方大集团,5.18,广东,建筑装饰,4/15/1996,0.21,0.35,0.31,1.91,0.97,0.91,0.14,0.13,0.11,0.03,0.09,0.11,0.1,0.05,0.0629,0,1,0.29,0.393333333,5.144,是,1,17.86206897,24.16805161,-0.262711864,1.236640607,2.141873839,1.01,5562668496,0,0,0,1,1,1,1,1,4.47
000056.SZ, 皇庭国际,4.7,广东,房地产,7/8/1996,-1.01,-0.26,0.04,0.08,0.15,0.1,0.09,-1.26,10.51,0.08,-0.56,-0.75,0.03,-0.12,0.33,0,0,-0.41,-0.356666667,2.9309,-,0,10000,0,0.14953271,0.251689999,0.70599784,1.6,5649483143,0,0,0,1,0,1,0,0,3.03
000058.SZ, 深 赛 格,7,广东,商业贸易,12/26/1996,0.0375,0.021,0.0635,0.0225,0.1777,0.1371,0.0946,0.0616,0.0692,0.0581,0.0879,0.0755,-0.3977,0.062,0.08,0,1,0.040666667,0.097766667,1.6062,是,1,172.1311475,26.54440684,-0.584043641,1.631421791,-6.33192278,4.36,7017843830,0,0,0,1,0,1,0,0,6.72
000059.SZ, 华锦股份,8.72,辽宁,化工,1/30/1997,0.56,0.2,0.62,0.63,1.15,1.13,0.21,-1.3216,-0.1293,0.0163,0.7014,0.3437,0.1634,0.3206,0.2,0,0,0.46,0.006133333,8.9283,是,1,18.95652174,0,74,2.576310787,3.972765343,0.98,12283718684,0,0,1,1,1,1,1,1,5.52
000060.SZ, 中金岭南,4.21,广东,有色金属,1/23/1997,0.27,0.26,0.24,0.26,0.46,0.15,0.09,0.23,0.2,0.21,0.46,0.45,0.4,0.39,1.65,0,1,0.256666667,0.156666667,3.472,是,1,16.4025974,0,0.638297872,1.203870848,1.091341256,1.21,15996680197,0,0,0,1,1,1,1,1,4.82
000061.SZ, 农 产 品,5.73,广东,商业贸易,1/10/1997,0.2205,0.1858,0.1828,0.0252,0.0082,0.0521,0.0121,0.0497,0.0666,0.0346,0.2691,0.36,0.11,0.13,0.44,0,1,0.196366667,0.037966667,3.3361,是,1,29.18010525,0,4.172080773,0.501575691,0.649908016,1.72,9469059851,0,0,0,1,0,1,0,0,7.05
000062.SZ, 深圳华强,11.7,广东,电子,1/30/1997,0.8447,0.5971,0.6024,0.9504,0.5716,0.5904,0.5556,0.72,0.618,0.422,0.07,0.29,0.3,0.15,0.38,0,1,0.6814,0.622,5.8906,是,1,17.17053126,35.51743585,0.095498392,1.639101943,0.859443526,1.99,14287121339,0,0,0,1,0,1,0,0,12.44
000063.SZ, 中兴通讯,25.05,广东,通信,11/18/1997,1.47,0.92,1.22,-1.67,1.08,-0.57,0.77,0.77,0.39,-0.83,0.61,1.15,1.35,1.2,1.29,0,0,1.203333333,0.323333333,10.88,是,1,20.81717452,20.84582023,2.721649485,1.625095876,1.904390295,2.3,1.16E+11,1,0,0,1,0,1,0,0,33.65
000065.SZ, 北方国际,9.28,北京,建筑装饰,6/5/1998,0.78,0.9,0.91,0.77,0.97,0.95,0.82,0.73,0.74,0.74,0.45,0.27,0.35,0.22,-0.29,0,1,0.863333333,0.833333333,7.8437,是,1,10.74903475,0,0.036,1.486852159,1.671066936,1.18,9856761417,0,1,0,1,1,1,1,1,7.46
000066.SZ, 中国长城,11.88,广东,计算机,6/26/1997,0.204,0.317,0.38,0.336,0.204,0.025,-0.027,0.044,0.022,-0.181,0.076,0.167,0.795,0.021,0.214,0,0,0.300333333,0.014,3.3019,是,1,39.55604883,0,20.45238095,1.305723082,0.928902646,3.6,30387027400,0,0,0,1,0,1,0,0,18.99
