No.,Ticker,Market Cap,Market_Cap,PE,Fwd_PE,PEG,PS,PB,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt_Eq,Debt_Eq,Gross_M,Oper_M,Profit_M,Earnings,Price,Change,Volume
268,KO,259.48B,259.48,25.72,23.05,3.91,6.47,10.62,2.89%,11.20%,44.70%,12.60%,1.2,1,1.49,1.68,60.30%,29.20%,25.70%,Apr 25/b,60.98,1.63%,"28,995,332"
269,KR,35.63B,35.63,22.3,12.2,4.03,0.26,3.78,1.73%,3.30%,17.50%,13.60%,0.7,0.3,1.36,1.41,22.00%,2.50%,1.20%,Mar 03/b,48.66,1.37%,"8,037,996"
270,L,15.16B,15.16,9.75,-,0.7,1.04,0.94,0.40%,2.00%,9.40%,7.90%,-,-,0.54,0.56,-,18.40%,11.40%,May 02/b,62.79,-0.24%,"3,672,854"
271,LDOS,13.60B,13.6,19.8,14.03,2.75,0.98,3.54,1.43%,5.50%,17.60%,10.00%,1,0.9,1.16,1.3,14.80%,8.00%,5.20%,May 03/b,100.6,-0.91%,"697,676"
272,LEN,20.90B,20.9,5.81,4.23,0.25,0.75,1.06,2.02%,-,-,16.40%,-,-,0.22,0.28,21.80%,-,-,Mar 16/a,74.44,2.44%,"2,379,789"
273,LH,23.04B,23.04,11.41,13.55,-,1.45,2.16,1.16%,10.20%,20.10%,15.90%,2,1.8,0.51,0.51,33.20%,18.20%,13.20%,Apr 28/b,248.55,0.86%,"812,142"
274,LHX,44.13B,44.13,24.71,15.62,3.99,2.54,2.3,1.95%,5.30%,9.50%,6.20%,1.3,1.1,0.35,0.37,30.20%,12.10%,10.70%,Apr 29/b,229.4,-1.44%,"1,903,102"
275,LIN,154.64B,154.64,40.6,23.85,3.8,4.87,3.72,1.48%,4.80%,9.10%,6.40%,0.8,0.7,0.3,0.38,42.40%,16.50%,12.70%,Apr 28/b,315.18,1.44%,"2,364,945"
276,LKQ,13.42B,13.42,12.99,11.33,0.39,1.01,2.39,2.07%,8.70%,18.80%,13.10%,1.9,0.8,0.46,0.47,40.60%,10.90%,8.30%,Apr 28/b,48.36,-2.75%,"2,991,039"
277,LLY,284.12B,284.12,44.35,31.49,3.06,9.69,28.93,1.31%,12.80%,75.40%,20.80%,1.3,1,1.62,1.77,74.40%,24.60%,20.90%,Apr 28/b,298.85,4.39%,"3,122,021"
