Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,Price201231
000038.SZ, 深大通,9.06,广东,传媒,1994-08-08,0.1521,0.2341,-4.4946,0.6706,0.9278,0.062,-0.51,0.021,0.0216,0.02,0.28,0.22,1.7,0.18,0,0,-1.369466667,-0.1558,5.4881,-,0,10000,0,7.789901583,5.31731977,-3.055652579,1.650844555,6048534738,0,0,1,1,0,1,0,0,9.6
000039.SZ, 中集集团,17.83,广东,机械设备,1994-04-08,1.41,0.37,1.1,0.81,0.14,0.71,0.92,0.81,0.73,1.37,1.13,0.36,0.53,1.19,0,1,0.96,0.82,12.24,是,1,18.57291667,27.90310734,0.170731707,1.102581659,0.624114277,1.456699346,59209873827,1,0,0,1,1,1,1,0,14.99
000040.SZ, 东旭蓝天,3.86,广东,公用事业,1994-08-08,-0.6866,-0.6435,0.83,0.41,0.19,0.13,0.11,0.22,0.41,0.3,0.21,0.14,-0.24,0.16,0,0,-0.1667,0.246666667,8.187,-,0,10000,0,-1.675810811,1.317383404,2.05327092,0.471479174,3910478278,0,0,0,1,1,1,1,0,3.49
000042.SZ, 中洲控股,7.64,广东,房地产,1994-09-21,0.4232,1.184,0.6719,0.9256,0.3959,0.8377,0.6381,1.6934,1.72,1.3325,1.5114,1.1135,0.0283,0.8427,0,1,0.7597,1.3505,11.8431,是,1,10.05660129,10.13502067,-0.437467605,1.801706682,0.30679314,0.645101367,5617823125,0,1,0,1,1,1,1,1,9.14
000045.SZ, 深纺织Ａ,9.37,广东,电子,1994-08-15,0.07,0.04,-0.04,0.1,-0.17,0.02,-0.22,0.1,-0.24,0.15,0.14,0.16,0.19,0.05,0,0,0.023333333,-0.12,5.4478,是,1,401.5714286,0,-1.194444444,3.966579304,42.33872227,1.719960351,4112955460,0,0,1,1,0,1,0,0,7.17
000046.SZ, 泛海控股,2,北京,非银金融,1994-09-12,-0.8894,0.2107,0.1791,0.5564,0.6045,0.4433,0.342,0.2592,0.1716,0.0566,0.054,0.177,0.094,0.853,0,1,-0.166533333,0.2576,3.1959,-,0,10000,47.46041107,-1.646480331,1.185544904,0.095143159,0.625801809,15328791935,0,0,0,1,1,1,1,0,3.28
000047.SZ, ST中侨,0,广东,-,1994-10-21,0,0,0,0,0,0,0,0,0,-0.3127,0,0.1662,0,0,0,0,0,0,0,-,0,10000,0,-999,0,0,#DIV/0!,966848793.5,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000048.SZ, 京基智农,17.74,广东,农林牧渔,1994-11-01,2.153,2.735,1.1193,0.7083,0.0153,0.52,0.29,-0.0231,0.0709,1.2361,-0.1207,0.1171,0.0924,0.062,0,0,2.002433333,0.1126,6.8384,是,1,8.859221281,27.42188206,16.78359976,1.087778631,-1.690479486,2.594174076,11853381478,0,1,0,1,0,1,0,0,22.9
000049.SZ, 德赛电池,32.16,广东,电子,1995-03-20,3.2321,2.4409,1.9556,1.4643,1.2439,1.1217,1.1428,1.5057,1.0498,0.872,0.5216,-0.2605,0.0114,0.0522,0,1,2.542866667,1.232766667,13.6565,是,1,12.64714364,28.88176925,1.062731525,1.18961378,2.898691821,2.354922564,14534921321,0,1,0,1,0,1,0,0,67.6
000050.SZ, 深天马Ａ,13.57,广东,电子,1995-03-15,0.6749,0.4049,0.4599,0.5761,0.4062,0.4901,0.7116,0.25,0.0948,0.1761,0.1226,-0.3581,0.0163,0.26,0,1,0.513233333,0.352133333,13.6582,是,1,26.44021563,19.75605976,0.45749716,0.850261909,1.203157261,0.993542341,33105860994,0,0,0,1,1,1,1,0,14.74
000055.SZ, 方大集团,4.42,广东,建筑装饰,1996-04-15,0.35,0.31,1.91,0.97,0.91,0.14,0.13,0.11,0.03,0.09,0.11,0.1,0.05,0.0629,0,1,0.856666667,0.09,4.9444,-,0,5.159533074,15.64647971,8.518518519,1.209778651,2.65745452,0.89394062,4553226722,0,1,0,1,1,1,1,1,4.47
000056.SZ, 皇庭国际,3.23,广东,房地产,1996-07-08,-0.26,0.04,0.08,0.15,0.1,0.09,-1.26,10.51,0.08,-0.56,-0.75,0.03,-0.12,0.33,0,0,-0.046666667,3.11,4.0485,-,0,10000,0,-1.015005359,0.245725254,0.940486589,0.797826355,4228303392,0,0,0,1,1,1,1,0,3.03
000058.SZ, 深 赛 格,5.75,广东,商业贸易,1996-12-26,0.021,0.0635,0.0225,0.1777,0.1371,0.0946,0.0616,0.0692,0.0581,0.0879,0.0755,-0.3977,0.062,0.08,0,1,0.035666667,0.062966667,1.5423,是,1,161.2149533,47.25426808,-0.433562732,1.535354321,0.957598339,3.728198146,7105023432,0,0,0,1,0,1,0,0,6.72
000059.SZ, 华锦股份,7,辽宁,化工,1997-01-30,0.2,0.62,0.63,1.15,1.13,0.21,-1.3216,-0.1293,0.0163,0.7014,0.3437,0.1634,0.3206,0.2,0,0,0.483333333,-0.4782,8.4628,是,1,14.48275862,37.8535592,-2.0107347,1.720741983,2.906307999,0.827149407,11531980692,0,1,0,1,1,1,1,1,5.52
000060.SZ, 中金岭南,5.13,广东,有色金属,1997-01-23,0.26,0.24,0.26,0.46,0.15,0.09,0.23,0.2,0.21,0.46,0.45,0.4,0.39,1.65,0,1,0.253333333,0.213333333,3.2392,是,1,20.25,30.16263274,0.1875,1.877740144,1.483747612,1.583724376,17778237546,0,0,0,1,0,1,0,0,4.82
000061.SZ, 农 产 品,5.86,广东,商业贸易,1997-01-10,0.1858,0.1828,0.0252,0.0082,0.0521,0.0121,0.0497,0.0666,0.0346,0.2691,0.36,0.11,0.13,0.44,0,1,0.131266667,0.0503,3.1834,是,1,44.64195023,32.82653221,1.609675282,0.451690632,0.563815145,1.840799146,9842391960,0,0,0,1,0,1,0,0,7.05
000062.SZ, 深圳华强,14.13,广东,电子,1997-01-30,0.5971,0.6024,0.9504,0.5716,0.5904,0.5556,0.72,0.618,0.422,0.07,0.29,0.3,0.15,0.38,0,1,0.716633333,0.586666667,5.2935,是,1,19.71719615,24.90133289,0.221534091,1.673578482,1.174591293,2.66931142,17926885779,0,0,0,1,0,1,0,0,12.44
000063.SZ, 中兴通讯,33.13,广东,通信,1997-11-18,0.92,1.22,-1.67,1.08,-0.57,0.77,0.77,0.39,-0.83,0.61,1.15,1.35,1.2,1.29,0,0,0.156666667,0.11,9.39,是,1,211.4680851,17.92364075,0.424242424,1.43796372,0.992229969,3.528221512,1.29822E+11,1,0,0,1,0,1,0,0,33.65
